date,senator,ticker,amount,direction,returns_after_1d,returns_before_1d,returns_after_5d,returns_before_5d,returns_after_15d,returns_before_15d,returns_after_30d,returns_before_30d,adtv_before_1d,adtv_after_1d,adtv_before_5d,adtv_after_5d,adtv_before_15d,adtv_after_15d,adtv_before_30d,adtv_after_30d,daily_adtv
2015-01-27,David Perdue,TAP,-8000.5,-1.0,-0.004384206537012214,-0.008058541692329668,0.0037394904912972926,0.03083908313096284,-0.01663449853634902,0.056395474140064294,-0.04478830688358848,0.036903391521597495,40787276.0,429000.0,2068400.0,1434340.0,9633009.8,1956133.3333333333,1776145.7,3150206.6666666665,1263700.0
2015-01-27,Pat Roberts,NFLX,32500.5,1.0,-0.025783327389168997,0.017041444419216845,0.006054933956276987,0.30209295312656814,0.04599595561643577,0.37136912213895257,-0.0307814818172657,0.3572304014959933,8527600.0,2695662.0,6062808.2,1964680.0,2447503.466666667,2053456.6,4636119.133333334,13853198.6,24612700.0
2015-01-28,Pat Roberts,AAPL,8000.5,1.0,0.031133500982239992,0.056532556132359746,0.03685725445878352,0.05257867370955949,0.11835041685061132,0.08516837473310246,0.08352404456073148,0.05085195133260534,167850.0,113100.0,2161307.0,2933752.2,5766176.4,2346184.066666667,2340834.2666666666,2836724.966666667,585908400.0
2015-01-28,Pat Roberts,BIDU,32500.5,1.0,0.000363133003228322,-0.0317320848215118,-0.013934874038629141,-0.034913269946214576,-0.059325460534098484,0.0005904482111775966,-0.0768008640390696,-0.039290116334622316,3029615.0,1486000.0,3125195.2,2546160.0,2746130.8666666667,2809560.0,4983446.4,3527923.1333333333,3000400.0
2015-01-28,Thomas R. Carper,TGT,-8000.5,-1.0,0.016563403390541076,-0.006688555915418726,0.018179474177037802,0.004191849826166161,0.03962096755859301,0.00392014223720194,0.07514299880894715,0.02569039936613038,0.0,399900.0,1490240.0,1920000.0,6156997.0,5019120.0,6708806.666666667,3866303.1666666665,4174300.0
2015-01-29,David Perdue,TAP,-8000.5,-1.0,-0.026912867988168387,0.010620379833299554,0.0023066629375978476,-0.0007682349250490716,-0.01794193268616817,0.03488081708612123,-0.03288349629384979,0.0831483221362781,41138534.0,566700.0,2199840.0,1520300.0,12446639.8,2060473.3333333333,2069275.0333333334,4309306.666666667,1353900.0
2015-01-29,David Perdue,ZTS,-8000.5,-1.0,-0.013619410306786706,0.004871051028538798,0.0018471399285753254,-0.026736042813981564,0.0526322075758332,-0.002494783780047527,0.07225344814936219,0.039804862162760024,3332050.0,0.0,7370677.4,5721135.6,3814787.933333333,26539291.866666667,3195120.8666666667,14990383.666666666,4927300.0
2015-01-30,David Perdue,ZTS,-32500.5,-1.0,0.015211990996776947,-0.013619410306786706,0.021764804302142116,-0.031505192337153876,0.06669836752435487,-0.031001577685114468,0.09946185743897495,0.047989056026930044,1997891.0,0.0,7804827.6,6227685.6,5409949.733333333,20325150.866666667,4214998.066666666,11928831.0,3146000.0
2015-01-30,Patrick J. Toomey,QQQ,-8000.5,-1.0,0.008704187236390437,-0.007753613270812365,0.02007906646399582,-0.030308815963285052,0.07339270327716108,-0.021297112871716983,0.055390787251857754,0.014970076755554729,26407800.0,1838292.0,1101000.0,1650618.4,6873628.2,2496526.1333333333,3231284.8666666667,2172648.3333333335,42927600.0
2015-01-30,Patrick J. Toomey,SPY,-32500.5,-1.0,0.012384042595166234,-0.012575341890050273,0.030584039526350137,-0.02693081238940731,0.058962367547709116,-0.03132596762801976,0.0457759574340606,0.01334329445079252,229400.0,706062.0,748260.0,630422.6,2161887.933333333,1815214.2,3571305.0,4149910.8333333335,197729700.0
2015-01-30,Patrick J. Toomey,XLU,8000.5,1.0,0.004345540973866191,-0.022059915444270217,-0.036423873193042966,-0.016686991177868093,-0.048013452805016565,0.013422830792627405,-0.08464420400818429,0.07191540562798537,3869400.0,13886500.0,515769.2,10570167.6,2769807.533333333,4743628.466666667,5425117.633333334,12717132.066666666,14915900.0
2015-01-30,Patrick J. Toomey,XLV,8000.5,1.0,0.005630121949640188,-0.015631854531216738,0.007362507213119818,-0.02354117680401946,0.04677329578226663,-0.02216264617433894,0.05962184151251937,0.0321617862748067,14915900.0,8027700.0,1499766.8,7804827.6,2746947.533333333,5312068.466666667,5264210.966666667,12320278.733333332,13886500.0
2015-02-03,David Perdue,TAP,-8000.5,-1.0,-0.002184029809449095,0.021120275524238563,-0.05948105051995645,0.0037394904912972926,-0.022514973741730837,0.011434394050006125,-0.04240598757989411,0.015524604054435454,55119974.0,566200.0,2408280.0,1723160.0,11072276.0,2270420.0,2124612.0,4547903.333333333,1553300.0
2015-02-03,Ted Cruz,PAGP,75000.5,1.0,-0.025557829083679096,0.013868525627604988,-0.0176385938833592,0.028241496747873462,0.012599099450307794,0.08947954683087689,0.008639533759816187,0.1442653779581906,2047300.0,112400.0,3768660.0,2445680.0,14022089.133333333,4041491.1333333333,5934035.466666667,3260815.566666667,377663.0
2015-02-04,David Perdue,TAP,-8000.5,-1.0,0.006952500560081898,-0.002184029809449095,-0.06012604463391602,0.00595761949448792,-0.00018255677783984847,0.01969259578215765,-0.05312452131080636,0.023185372964939832,39537685.0,596600.0,2618100.0,1582220.0,10645157.466666667,2002060.0,1987613.9666666666,3502230.0,949900.0
2015-02-05,David Perdue,KN,8000.5,1.0,-0.017903923766022456,0.02690584762319559,-0.05502184497253293,0.08069839742213603,-0.16375546124313323,0.031531478897937504,-0.12707423126144457,0.04328012859092034,1384200.0,1086700.0,3503548.6,4806400.0,4094321.8,2222103.8,2809806.933333333,2830575.2333333334,867900.0
2015-02-05,Pat Roberts,DVN,8000.5,1.0,0.004154197318545494,0.015624931650734197,0.012000301324985418,0.10694758239120139,-0.05246137246774696,0.1111107357687049,-0.09372169800007368,0.07991334453645393,790900.0,1800400.0,3747300.6,4380380.0,4291090.133333334,4826777.8,5827735.3,3720548.7333333334,5249600.0
2015-02-05,Pat Roberts,GM,8000.5,1.0,-0.006896536800430231,0.011721870398187617,0.0488275616947067,0.09318477566541827,0.029241288984604097,0.05685163511994529,0.08107936126241966,0.09088185682457661,8666000.0,90000.0,5587780.0,1755380.0,1862055.0,8560559.466666667,3996383.2333333334,6034079.1,20854900.0
2015-02-05,Thom Tillis,NICE,-8000.5,-1.0,0.015477457823630969,0.04352976897156147,0.027368834379249085,0.07095199900942695,0.10498470893062084,0.043324194595418586,0.13205543962634536,0.041478382477302844,0.0,5754400.0,5598020.0,2868246.0,6260916.466666667,11040469.466666667,4481279.9,6837354.4,397500.0
2015-02-11,David Perdue,TAP,-8000.5,-1.0,0.010684737790527699,-0.0028683173806283158,0.03397267764458234,-0.06012604463391602,0.02521542907140284,-0.04774355017266796,-0.0057723145896519945,-0.040483548544123615,42241293.0,262400.0,1639140.0,1033300.0,7176712.866666666,1221026.6666666667,1759080.4333333333,6405966.666666667,2523700.0
2015-02-11,Patrick J. Toomey,PFS,-32500.5,-1.0,0.017553668162191283,-0.001095846212136653,0.006034172440509522,0.013771834744901179,0.0038401568623245286,0.0741717714157959,0.010971215233764875,0.006558818642355968,41574608.0,7184600.0,1071250.0,3580700.0,2830462.2666666666,2955754.4,13244176.866666667,3142047.566666667,136700.0
2015-02-12,Sheldon Whitehouse,CMRE,-32500.5,-1.0,0.015544413828835646,0.01685963127456569,-0.012434889375878555,0.03763402812417138,-0.02849723643661206,0.13262855155300146,-0.06839349578530685,0.1132456506211883,44206.0,1806600.0,6161880.0,3355120.0,1402746.0666666667,11337920.0,3286151.6333333333,7856819.866666666,148500.0
2015-02-12,Thomas R. Carper,AAPL,8000.5,1.0,0.004902899996089616,0.012652418131975374,0.024039182678459614,0.05436044677630392,0.0011070476291843434,0.1295291258443938,-0.025383618815244313,0.12832427935258806,131100.0,112700.0,2546345.2,3366200.0,5867815.733333333,2417260.0,2635321.7,3088352.533333333,297898000.0
2015-02-12,Thomas R. Carper,ABBV,8000.5,1.0,0.017528754558525872,0.006349907852865266,0.07449667489793654,-0.016210167151772814,-0.024714582317935108,-0.09415713097454337,0.010517313532349748,-0.13305783025823514,112700.0,93700.0,3307768.4,1398760.0,4373169.4,2002900.0,3482118.3666666667,2730689.2,11940900.0
2015-02-12,Thomas R. Carper,ABT,8000.5,1.0,0.019239289757182476,0.006453972915050343,0.04997822427456011,-0.009419686526081161,0.028306299691343018,0.01640779111245516,0.03449811775467215,-0.005048075531639773,0.0,285100.0,63144388.4,1229460.0,4341058.8,2307733.3333333335,3397933.6666666665,2742462.533333333,4683700.0
2015-02-12,Thomas R. Carper,ITW,-8000.5,-1.0,0.004908667035488534,0.010959702232097523,0.017487906387240182,0.007314280263367223,-0.00010282109179560184,0.033615313291193605,-0.005640598680264564,0.017799792411370197,675400.0,4695600.0,2114905.2,7973460.0,1179137.3333333333,7081966.0,6062541.2,5622640.5,1513700.0
2015-02-12,Thomas R. Carper,VLO,-8000.5,-1.0,0.03625087847735009,0.02149543901925899,0.07374010640290307,0.03554541136461187,0.03872687479261305,0.18677837630641347,0.09407611683803951,0.14595345754729627,4194588.0,1256100.0,2448460.0,1219980.0,1844406.4,3089892.6,10182443.333333334,2776467.2666666666,10149300.0
2015-02-13,Patrick J. Toomey,T,-32500.5,-1.0,0.0014425217823170744,0.001444759815126817,-0.023369944237452533,-0.00602227305972447,-0.03779585377014738,0.03865735577811158,-0.048759372856180816,0.051325650850668314,0.0,1794600.0,1371460.0,1266280.0,7426716.333333333,1530066.6666666667,1535268.4,1742710.0,21293098.0
2015-02-13,Thom Tillis,AAON,-8000.5,-1.0,-0.009841642597669509,-0.00128202686805301,0.0098417081212554,0.006893558721591697,-0.06204552840840594,0.04005338989074447,0.057338182952335615,0.043769549289600196,9895700.0,217088800.0,2239138.8,46996080.0,5240447.066666666,17106726.666666668,2765553.933333333,10616442.3,130800.0
2015-02-13,Thom Tillis,AAT,-8000.5,-1.0,-0.0002353630144186214,-0.010241894902161874,0.0018816087767994372,-0.0016432818745698574,-0.04656625504477696,-0.03121426852656206,0.031988644544140854,0.06807308009452173,217088800.0,11303200.0,3379572.4,4031620.0,5899532.2,3062420.0,2886433.933333333,3428818.966666667,63500.0
2015-02-13,Thom Tillis,ALE,-8000.5,-1.0,-0.016216439915592518,-0.02134237275441253,0.04175195697188583,-0.02178395391299992,-0.02814522882757209,-0.07016519507219621,-0.018266734628560544,-0.01805826965585211,2322400.0,704500.0,6309393.8,3518260.0,17560476.4,7089864.0,4551989.233333333,4458935.3,298300.0
2015-02-13,Thom Tillis,ATRO,-8000.5,-1.0,-0.006460614491401562,0.04986258051299641,0.156801096205347,0.053338242456965945,0.2502182414900396,0.04013807223059529,0.2708223830804537,0.03543660279021177,446300.0,14614000.0,997439.0,10331980.0,6854153.333333333,11399480.0,10824113.833333334,6790235.7,205404.0
2015-02-13,Thom Tillis,BCPC,-8000.5,-1.0,-0.00515635889915711,0.014649522117187841,0.020625504670424677,0.042278781948215105,-0.030079082589466122,0.0774073375898452,-0.03540743524158907,-0.12695081574935196,4808600.0,829840.0,23244180.0,793422.0,1828006.6,1703796.7333333334,5392860.966666667,2545066.2666666666,161600.0
2015-02-13,Thom Tillis,BECN,-8000.5,-1.0,0.008547000419168338,0.023323592463275977,0.0292022684135389,0.06242904273471206,-0.008547000419168338,0.18882298585969948,0.10470087400447503,0.010071967421935613,829840.0,1557270.0,22693340.0,2998882.2,3886479.933333333,1968020.7333333334,5397774.3,2537951.6,636800.0
2015-02-13,Thom Tillis,BERY,-8000.5,-1.0,-0.006003394970218734,0.0008584077686637492,0.007146977405027455,0.0011448917128611402,-0.01372213301394487,0.056159361314575884,0.05202979001969754,0.1087162859008497,636800.0,332900.0,22809424.0,2923428.2,3788993.6,1868462.7333333334,5388740.8,2487662.6,1557270.0
2015-02-13,Thom Tillis,BIO,-8000.5,-1.0,-0.0018587463633713552,0.0067194090123154915,-0.0032950269317110203,-0.0021077480711030327,0.1352652452203158,0.031909361460235486,0.14168641590049358,-0.018248150238829974,1180000.0,385300.0,703682.0,1481520.0,5108006.933333334,1773746.6666666667,4502434.133333334,2457177.566666667,65100.0
